id;year;HD_control;HD_IVM-control;HD_IVM-IVM;GR_control;GR_IVM-control;GR_IVM-IVM
1;2016;-1,072;-0,414;-0,414;0,641;0,476;0,576
2;2016;-1,072;-0,414;-0,414;0,141;0,638;0,656
3;2016;-1,072;-0,414;0,464;0,918;0,726;0,834
4;2016;-1,072;0,464;0,464;0,071;0,774;0,787
5;2016;-1,072;0,464;0,464;0,185;0,73;0,858
6;2016;2,987;0,464;2,658;0,193;0,842;NA
7;2016;2,987;2,658;2,658;0,198;NA;NA
8;2016;-1,182;2,658;2,658;0,651;NA;NA
9;2016;-1,182;0,573;0,573;0,635;0,622;0,673
10;2016;-1,182;0,573;0,573;0,685;0,649;0,647
11;2016;-0,085;0,354;0,354;0,559;0,741;0,717
12;2016;-0,085;0,354;0,354;0,556;0,777;0,794
13;2016;-0,085;-0,853;-0,853;0,606;0,164;0,229
14;2016;-0,085;-0,743;-0,853;0,667;0,295;0,129
15;2016;-0,085;-0,195;-0,195;0,652;0,54;0,559
16;2016;0,135;-0,195;-0,195;0,574;0,618;0,563
17;2016;0,135;-0,195;-0,195;0,513;0,557;0,633
18;2016;0,135;-0,195;-0,195;0,558;0,59;0,576
19;2016;0,135;-0,195;-0,195;0,525;0,597;0,542
20;2016;0,135;0,135;-0,633;0,505;0,745;0,287
21;2016;0,683;-0,633;-0,633;0,641;0,451;0,417
22;2016;0,464;-0,304;-0,304;0,656;0,733;0,605
23;2016;0,464;-0,304;-0,304;0,75;0,649;0,629
24;2016;0,464;-0,743;-0,743;0,808;0,327;0,277
25;2016;0,464;-0,743;-0,743;0,652;0,294;0,321
26;2016;-0,853;-0,743;0,135;0,098;0,359;0,607
27;2016;-0,853;0,135;0,135;0,115;0,728;0,704
28;2016;-0,524;0,135;0,135;0,342;0,655;0,696
29;2016;-0,524;0,135;-0,414;0,519;0,646;0,447
30;2016;-0,524;-0,414;-0,414;0,563;0,276;0,556
31;2016;-0,195;-0,414;-0,085;0,535;0,551;0,606
32;2016;-0,195;-0,414;-0,085;0,477;0,501;0,656
33;2016;-0,195;-0,085;-0,085;0,524;0,546;0,597
34;2016;-0,195;-0,085;2,768;0,497;0,56;0,633
35;2016;-0,195;2,768;2,768;0,502;0,625;0,589
36;2016;-0,195;2,768;0,108;0,582;0,627;0,534
37;2017;1,222;0,108;0,108;0,346;0,541;0,604
38;2017;1,222;0,108;0,108;0,58;0,647;0,691
39;2017;1,222;0,108;0,108;0,65;0,562;0,497
40;2017;1,222;-1,007;-1,007;0,679;0,519;0,583
41;2017;2,336;-1,007;-1,007;0,393;0,613;0,555
42;2017;2,336;-1,007;-1,007;0,462;0,577;0,67
43;2017;2,336;1,593;1,593;0,32;NA;0,488
44;2017;2,336;1,593;1,593;0,436;0,676;0,652
45;2017;0,108;1,593;1,593;0,437;0,559;0,608
46;2017;0,108;1,222;1,593;0,553;0,475;0,638
47;2017;1,965;1,965;1,965;0,55;0,582;0,673
48;2017;1,965;1,965;1,965;0,48;0,637;0,654
49;2017;1,965;-0,635;-0,635;0,46;0,614;0,638
50;2017;1,965;-0,264;-0,635;0,553;0,494;0,715
51;2017;-0,264;-0,264;-0,264;0,515;0,599;0,557
52;2017;-0,264;-0,264;-0,264;0,572;0,538;0,736
53;2017;-0,264;-0,635;-0,635;0,673;0,507;0,62
54;2017;-0,264;-0,635;-0,635;0,616;0,541;0,7
55;2017;-0,264;-0,635;-0,635;0,628;0,861;0,666
56;2017;-0,635;-0,635;-1,007;0,368;0,688;0,559
57;2017;-0,635;-1,007;-1,007;0,44;0,459;0,606
58;2017;-0,635;-1,378;-1,378;0,39;0,498;0,466
59;2017;-0,635;-1,378;-1,378;0,428;0,496;0,443
60;2017;-0,635;0,479;-1,378;0,358;0,542;0,47
61;2017;-0,635;0,479;-0,264;0,379;0,584;0,629
62;2017;-0,635;0,479;-0,264;0,453;0,542;0,516
63;2017;-0,635;0,108;-0,264;0,396;0,568;0,444
64;2017;-0,635;0,108;0,479;0,433;0,561;0,544
65;2017;-0,635;0,108;0,479;0,512;0,557;0,655
66;2017;-0,635;-0,635;0,479;0,508;0,557;0,585
67;2017;-0,635;-0,635;0,108;0,544;0,526;0,51
68;2017;-1,007;-0,635;0,108;0,493;0,588;0,507
69;2017;-1,007;0,108;-0,635;0,477;0,498;0,535
70;2017;-1,007;0,108;-0,635;0,505;0,506;0,543
71;2017;-1,007;0,108;0,108;0,547;0,478;0,497
72;2017;-1,007;-0,635;0,108;0,561;0,331;0,474
73;2017;-1,007;-0,635;0,108;0,646;0,397;0,526
74;2017;-1,007;-0,635;0,108;0,798;0,439;0,496
75;2017;-1,007;-0,264;-0,635;0,602;0,478;0,381
76;2017;-1,007;-0,264;-0,635;0,734;0,529;0,432
77;2017;-1,007;-0,264;-0,264;0,732;0,545;0,403
78;2017;-1,007;-1,007;-0,264;0,841;0,521;0,482
79;2017;-0,264;-1,007;-0,264;0,637;0,563;0,501
80;2017;-0,264;0,851;-1,007;0,728;0,519;0,548
81;2017;-0,264;0,851;-1,007;0,728;0,598;0,565
82;2017;-0,264;-0,635;0,851;0,669;0,422;0,503
83;2017;-0,264;-1,007;0,851;0,791;0,632;0,581
84;2017;-0,264;-1,007;0,851;0,667;0,612;0,617
85;2017;-0,264;0,108;-0,635;0,383;0,489;0,567
86;2017;-0,264;0,108;-0,635;0,406;0,48;0,57
87;2017;-0,264;0,108;-1,007;0,438;0,56;0,636
88;2017;-0,635;NA;0,108;0,465;NA;0,484
89;2017;-0,635;NA;0,108;0,525;NA;0,453
90;2017;-0,635;NA;0,108;0,471;NA;0,585
91;2017;-0,635;NA;NA;0,464;NA;NA
92;2017;0,479;NA;NA;0,567;NA;NA
93;2017;0,479;NA;NA;0,505;NA;NA
94;2017;1,593;NA;NA;0,64;NA;NA
95;2017;1,593;NA;NA;0,587;NA;NA
96;2017;1,593;NA;NA;0,674;NA;NA
97;2017;1,593;NA;NA;0,688;NA;NA
98;2017;1,593;NA;NA;0,702;NA;NA
99;2017;1,593;NA;NA;0,629;NA;NA
100;2017;2,708;NA;NA;0,507;NA;NA
101;2017;2,708;NA;NA;0,504;NA;NA
102;2017;2,708;NA;NA;0,486;NA;NA
103;2017;2,708;NA;NA;0,479;NA;NA
104;2017;2,708;NA;NA;0,512;NA;NA
105;2017;2,708;NA;NA;0,498;NA;NA
106;2017;0,108;NA;NA;0,518;NA;NA
107;2017;0,108;NA;NA;0,549;NA;NA
108;2017;0,108;NA;NA;0,486;NA;NA
109;2017;0,108;NA;NA;0,444;NA;NA
110;2017;0,108;NA;NA;0,498;NA;NA
111;2017;0,108;NA;NA;0,486;NA;NA
112;2017;-1,378;NA;NA;0,68;NA;NA
113;2017;0,108;NA;NA;0,488;NA;NA
114;2017;0,108;NA;NA;0,48;NA;NA
115;2017;0,108;NA;NA;0,467;NA;NA
116;2017;0,108;NA;NA;0,468;NA;NA
117;2017;0,108;NA;NA;0,493;NA;NA
118;2017;0,851;NA;NA;0,539;NA;NA
119;2017;0,851;NA;NA;0,446;NA;NA
120;2017;0,851;NA;NA;0,463;NA;NA
121;2017;0,851;NA;NA;0,556;NA;NA
122;2017;0,851;NA;NA;0,532;NA;NA
123;2017;-0,635;NA;NA;0,405;NA;NA
124;2017;-0,635;NA;NA;0,504;NA;NA
125;2017;-0,635;NA;NA;0,561;NA;NA
126;2017;-0,635;NA;NA;0,574;NA;NA
127;2017;-0,635;NA;NA;0,668;NA;NA
128;2017;-0,635;NA;NA;0,623;NA;NA
129;2017;-0,635;NA;NA;0,516;NA;NA
130;2017;-1,007;NA;NA;0,615;NA;NA
131;2017;-1,007;NA;NA;0,632;NA;NA
132;2017;-1,007;NA;NA;0,627;NA;NA
133;2017;-1,007;NA;NA;0,624;NA;NA
134;2017;-1,007;NA;NA;0,684;NA;NA
135;2017;-0,635;NA;NA;0,542;NA;NA
136;2017;-0,635;NA;NA;0,547;NA;NA
137;2017;-0,635;NA;NA;0,533;NA;NA
138;2017;-0,635;NA;NA;0,613;NA;NA
139;2017;0,108;NA;NA;0,333;NA;NA
140;2017;0,108;NA;NA;0,237;NA;NA
141;2017;0,108;NA;NA;0,279;NA;NA
142;2017;0,108;NA;NA;0,26;NA;NA
