year;sampling_round;plot_code;fruit_consumption_event_code;bird_sp;fruit_sp;no_fruits_consumed
2012_2013;1;B3;1;tur_mer;cra_mon;1
2012_2013;1;G3;2;tur_mer;cra_mon;11
2012_2013;1;M2;3;syl_atr;rub_fru;2
2012_2013;1;M2;4;gar_gla;rub_fru;4
2012_2013;1;M3;5;syl_atr;rub_fru;1
2012_2013;1;M3;6;tur_mer;cra_mon;1
2012_2013;1;M3;7;syl_atr;rub_fru;3
2012_2013;1;M3;8;syl_atr;rub_fru;3
2012_2013;1;M3;9;syl_atr;rub_fru;5
2012_2013;1;M3;10;syl_atr;rub_fru;7
2012_2013;1;M3;11;syl_atr;rub_fru;10
2012_2013;1;P1;12;tur_mer;sor_auc;2
2012_2013;1;P1;13;tur_mer;sor_auc;3
2012_2013;1;P1;14;tur_mer;sor_auc;7
2012_2013;1;P2;15;syl_atr;sor_ari;1
2012_2013;1;P2;16;tur_mer;tax_bac;1
2012_2013;1;P4;17;tur_phi;tax_bac;1
2012_2013;1;P4;18;gar_gla;tax_bac;1
2012_2013;1;P4;19;tur_mer;tax_bac;1
2012_2013;1;P4;20;tur_phi;tax_bac;2
2012_2013;1;P4;21;tur_vis;sor_ari;3
2012_2013;2;B1;22;tur_mer;rub_fru;1
2012_2013;2;B3;23;tur_mer;cra_mon;3
2012_2013;2;G1;24;syl_atr;sam_nig;1
2012_2013;2;G1;25;phy_coi;sam_nig;2
2012_2013;2;G1;26;tur_mer;cra_mon;2
2012_2013;2;G2;27;tur_mer;cra_mon;2
2012_2013;2;G3;28;tur_mer;cra_mon;2
2012_2013;2;G3;29;tur_mer;cra_mon;3
2012_2013;2;G3;30;tur_mer;cra_mon;3
2012_2013;2;G3;31;tur_mer;cra_mon;3
2012_2013;2;M1;32;syl_atr;rub_fru;2
2012_2013;2;M2;33;tur_mer;cra_mon;5
2012_2013;2;M3;34;tur_mer;cra_mon;1
2012_2013;2;M3;35;tur_mer;cra_mon;2
2012_2013;2;P1;36;syl_atr;tax_bac;1
2012_2013;2;P1;37;tur_mer;sor_auc;1
2012_2013;2;P1;38;tur_mer;sor_auc;1
2012_2013;2;P1;39;tur_mer;tax_bac;1
2012_2013;2;P1;40;tur_mer;tax_bac;1
2012_2013;2;P1;41;tur_mer;tax_bac;1
2012_2013;2;P1;42;tur_mer;sor_auc;2
2012_2013;2;P1;43;tur_phi;tax_bac;2
2012_2013;2;P1;44;syl_atr;tax_bac;3
2012_2013;3;B2;45;syl_atr;rub_fru;3
2012_2013;3;B4;46;tur_mer;cra_mon;2
2012_2013;3;B4;47;syl_atr;rub_fru;5
2012_2013;3;G1;48;tur_mer;cra_mon;1
2012_2013;3;M1;49;syl_atr;rub_fru;1
2012_2013;3;P1;50;tur_mer;tax_bac;1
2012_2013;3;P1;51;tur_mer;tax_bac;1
2012_2013;3;P1;52;tur_mer;tax_bac;1
2012_2013;3;P1;53;tur_vis;tax_bac;1
2012_2013;3;P1;54;tur_mer;tax_bac;2
2012_2013;3;P1;55;tur_mer;tax_bac;2
2012_2013;4;B1;56;eri_rub;cra_mon;1
2012_2013;4;B1;57;tur_mer;cra_mon;1
2012_2013;4;B1;58;tur_mer;rub_fru;1
2012_2013;4;B1;59;tur_mer;rub_fru;1
2012_2013;4;B1;60;tur_phi;cra_mon;1
2012_2013;4;B1;61;tur_phi;cra_mon;1
2012_2013;4;B1;62;tur_mer;cra_mon;2
2012_2013;4;B1;63;tur_mer;cra_mon;2
