plot_code;year;eri_rub;gar_gla;phy_coi;syl_atr;tur_ili;tur_mer;tur_phi;tur_pil;tur_tor;tur_vis;cra_mon;ile_aqu;lon_per;pru_spi;ros_can;rub_fru;sam_nig;sor_ari;sor_auc;tax_bac
B1;2012_2013;5;0;0;0;33;49;9;1;0;4;81572;8316;0;0;0;35329;0;0;0;0
B2;2012_2013;16;0;0;3;28;33;12;3;0;0;249941;53740;0;0;1339;65799;0;35;2334;0
B3;2012_2013;14;1;1;1;50;42;17;5;0;2;267226;380058;0;0;4939;42963;4242;0;41;0
B4;2012_2013;28;0;8;4;102;82;19;6;0;0;536481;115832;0;0;1994;68034;0;0;617;0
M1;2012_2013;22;1;1;15;28;31;32;0;0;0;145028;288214;0;0;737;166310;0;0;0;0
M2;2012_2013;15;2;0;1;11;15;3;0;0;0;99590;83459;0;0;184;56221;0;0;0;0
M3;2012_2013;24;11;7;14;61;33;20;1;0;0;57832;357770;0;0;0;218313;0;0;0;0
G1;2012_2013;12;0;1;4;20;32;1;0;0;0;393792;12227;0;0;0;1983;0;0;0;0
G2;2012_2013;33;0;1;1;28;120;13;0;0;1;496035;39654;0;0;0;56213;0;0;0;0
G3;2012_2013;21;0;0;0;15;58;18;0;0;0;210331;158680;0;0;0;21333;4242;0;0;0
P1;2012_2013;10;0;0;2;3;47;22;0;0;24;71433;73048;0;0;0;7228;4277;0;24629;82371
P2;2012_2013;25;1;1;5;7;58;11;1;0;0;73944;63420;0;0;0;41067;5988;0;0;49509
P3;2012_2013;0;0;0;0;9;16;0;0;0;2;172427;75611;0;0;0;1345;0;0;0;0
P4;2012_2013;5;1;0;0;12;28;30;0;0;39;81961;121040;0;0;0;801;0;0;35;48202
B1;2013_2014;16;0;0;1;2;20;2;0;0;0;13974;65644;0;0;35;13680;0;0;0;0
B2;2013_2014;40;3;0;2;7;72;9;0;0;0;217066;201079;0;0;2064;20808;0;10230;105254;0
B3;2013_2014;30;1;0;7;77;83;13;0;0;2;214731;1012695;0;0;6659;11968;582;582;43852;0
B4;2013_2014;49;2;2;3;30;48;6;0;0;2;295142;613134;0;0;3132;25859;0;8484;24047;0
M1;2013_2014;33;2;0;18;72;82;6;0;0;0;17084;886346;70;0;4041;121343;0;0;0;0
M2;2013_2014;18;1;1;2;2;28;1;0;0;0;10180;331109;0;0;260;34494;0;0;0;0
M3;2013_2014;42;2;8;29;135;77;15;0;0;0;32147;1728481;35;0;617;47459;0;0;0;0
G1;2013_2014;12;0;1;1;18;48;5;0;0;0;440722;54982;0;0;0;512;3;0;0;0
G2;2013_2014;35;0;0;2;19;95;4;0;0;0;601283;108810;0;9;0;25083;0;0;0;0
G3;2013_2014;28;0;0;5;11;67;1;0;0;0;228858;256153;0;3;4487;27652;4824;0;0;0
P1;2013_2014;27;0;0;1;8;53;4;0;0;1;93531;195858;0;0;582;2986;617;0;9066;21112
P2;2013_2014;36;0;1;4;3;46;3;0;0;3;220855;237852;0;0;0;34515;9683;19805;0;53580
P3;2013_2014;9;0;0;0;26;4;1;0;0;4;198447;245161;0;0;0;152;0;0;0;0
P4;2013_2014;17;1;0;0;38;39;6;0;1;21;296249;490732;0;0;0;85;0;15776;5406;28913
